ID,Name,Type
362,Sisters High School,traditional
363,Sisters Middle School,traditional
364,Sky View Middle School,traditional
368,Summit High School,traditional
369,Terrebonne Community School,traditional
372,Three Rivers Elementary School,traditional
374,Tom McCall Elementary,traditional
376,Tumalo Community School,traditional
377,Vern Patrick Elementary,traditional
380,Westside Village,traditional
381,Brockway Elementary School,traditional
382,Camas Valley Charter School,charter
385,Canyonville School,traditional
387,Coffenberry Middle School,traditional
388,Days Creek Charter School,charter
389,Dillard Alternative School,traditional
391,Douglas High School,traditional
392,East Primary School,traditional
393,Eastwood Elementary,traditional
394,Elkton Grade School,charter
395,Elkton High School,charter
396,Fir Grove Elementary School,traditional
397,Fullerton Iv Elementary School,traditional
399,Glendale Elementary/Junior High School,traditional
400,Glendale Senior High School,charter
401,Glide Elementary School,traditional
402,Glide High School,traditional
403,Glide Middle School,traditional
404,Green Elementary School,traditional
405,Highland Elementary School,traditional
406,Hucrest Elementary,traditional
407,John C Fremont Middle,traditional
408,Joseph Lane Middle School,traditional
409,Lincoln Middle School,traditional
411,Lookingglass Elementary,traditional
412,McGovern Elementary,traditional
414,Melrose Elementary School,traditional
416,Myrtle Creek Elementary School,traditional
417,North Douglas Elementary/Middle School,traditional
418,North Douglas High School,traditional
419,Oakland Elementary School,traditional
420,Oakland High School,traditional
421,Phoenix Charter School,charter
423,Reedsport Community Charter School,charter
424,Riddle Elementary School,traditional
425,Riddle Jr/Sr High School,traditional
426,Roseburg High School,traditional
428,South Umpqua High School,traditional
430,Sunnyslope Elementary,traditional
432,Sutherlin High School,traditional
433,Sutherlin Middle School,traditional
435,Tri-City Elementary School,traditional
437,West Intermediate School,traditional
438,Winchester Elementary School,traditional
439,Winston Middle School,traditional
440,Yoncalla Elementary School,traditional
441,Yoncalla High School/Middle School,traditional
442,Dayville School District #16J,traditional
443,Grant Union Jr/Sr High School,traditional
444,Humbolt Elementary School,traditional
445,Long Creek School District #17,traditional
446,Monument School District #8,traditional
447,Prairie City School,traditional
448,Seneca School,traditional
449,Burns High School,traditional
450,Crane Elementary School,traditional
451,Crane Union High School,traditional
455,Fields Elementary,traditional
456,Frenchglen Elementary,traditional
457,Henry L. Slater Elementary School,traditional
459,Hines Middle School,traditional
460,Monroe School,traditional
462,Silvies River Charter School,charter
463,Suntex Elementary School,traditional
465,Cascade Locks School,traditional
466,Hood River Middle,traditional
467,Hood River Valley High School,traditional
470,May Street Elementary,traditional
472,Mid-Valley Elementary,traditional
474,Parkdale Elementary,traditional
475,Westside Elementary,traditional
476,Wy'East Middle School,traditional
477,Abraham Lincoln,traditional
478,Armadillo Technical Institute,charter
479,Ashland High School,traditional
480,Ashland Middle School,traditional
481,Bellview Elementary,traditional
482,Butte Falls Charter Elementary,charter
483,Butte Falls Charter High School,charter
485,Central Medford High School,traditional
486,Central Point Elementary,traditional
487,Crater Academy Of Health And Public Sevices,traditional
488,Crater Lake Charter Academy,charter
489,"Crater School Of Business, Innovation & Science",traditional
490,Crater's Renaissance Academy,traditional
491,Eagle Point High School,traditional
492,Eagle Point Middle School,traditional
493,Eagle Rock Elementary,traditional
497,Griffin Creek Elementary,traditional
498,Hanby Middle School,traditional
500,Hedrick Middle School,traditional
501,Helman Elementary,traditional
502,Hillside Elementary,traditional
503,Hoover Elementary,traditional
504,Howard Elementary,traditional
505,Jackson Elementary,traditional
506,Jacksonville Elementary,traditional
507,Jefferson Elementary,traditional
508,Jewett Elementary,traditional
509,John Muir Elementary,traditional
510,Kennedy Elementary,traditional
511,Kids Unlimited Academy Public Charter School,charter
513,Lake Creek Learning Center,traditional
515,Lone Pine Elementary,traditional
516,Madrone Trail Public Charter School,charter
517,Mae Richardson Elementary,traditional
518,McLoughlin Middle,traditional
523,North Medford High School,traditional
524,Oak Grove Elementary,traditional
525,Orchard Hill Elementary,traditional
526,Patrick Elementary,traditional
527,Phoenix Elementary,traditional
528,Phoenix High School,traditional
530,Prospect Charter School,charter
531,River's Edge Academy Charter School,charter
532,Rogue River Elementary,traditional
533,Rogue River Junior Senior High,traditional
535,Roosevelt Elementary,traditional
536,Ruch Elementary,traditional
538,Sams Valley Elementary,traditional
539,Scenic Middle School,traditional
540,Shady Cove School,traditional
544,South Medford High School,traditional
547,Tablerock Elementary,traditional
548,Talent Elementary,traditional
549,Talent Middle School,traditional
551,Upper Rogue Center For Ed. Opp (Urceo),traditional
552,Valley School Of Southern Oregon,charter
553,Walker Elementary,traditional
554,Washington Elementary,traditional
555,White Mountain Middle School,traditional
557,Wilson Elementary,traditional
559,Big Muddy School,traditional
560,Black Butte School,traditional
562,Buff Elementary,traditional
563,Culver Elementary School,traditional
564,Culver High School,traditional
565,Culver Middle School,traditional
566,Jefferson County Middle School,traditional
567,Madras Elementary,traditional
568,Madras High School,traditional
569,Metolius Elementary School,traditional
570,Warm Springs Academy,traditional
571,Allen Dale Elementary School,traditional
572,Applegate Elementary,traditional
576,Evergreen Elementary,traditional
577,Fleming Middle School,traditional
578,Fort Vannoy,traditional
579,Fruitdale Elementary,traditional
581,Grants Pass High School,traditional
582,Hidden Valley High,traditional
583,Highland Elementary School,traditional
584,Illinois Valley High,traditional
585,Lincoln Elementary,traditional
586,Lincoln Savage Middle,traditional
587,Lorna Byrne Middle,traditional
588,Madrona Elementary,traditional
590,Manzanita Elementary,traditional
593,Newbridge High School,traditional
594,North Middle School,traditional
595,North Valley High,traditional
596,Parkside Elementary,traditional
597,Redwood Elementary,traditional
598,Riverside Elementary,traditional
599,South Middle School,traditional
601,Sunny Wolf Charter School,charter
603,Williams Elementary,traditional
604,Woodland Charter School,charter
605,Bonanza Elementary School,traditional
606,Bonanza Jr/Sr High School,traditional
607,Brixner Junior High School,traditional
608,Chiloquin Elementary School,traditional
609,Chiloquin Junior Senior High School,traditional
610,Conger Elementary School,traditional
611,Eagle Ridge High School,charter
612,Falcon Heights Academy,traditional
613,Ferguson Elementary School,traditional
615,Gilchrist Elementary School,traditional
616,Gilchrist Junior Senior High School,traditional
618,Henley Elementary School,traditional
619,Henley High School,traditional
620,Henley Middle School,traditional
623,Keno Elementary School,traditional
627,Klamath Union/Almeda House,traditional
628,Lost River Junior Senior High School,traditional
629,Malin Elementary School,traditional
630,Mazama High School,traditional
631,Merrill Elementary School,traditional
632,Mills Elementary School,traditional
634,Pelican Elementary School,traditional
635,Peterson Elementary School,traditional
636,Ponderosa Middle School,traditional
637,Roosevelt Elementary School,traditional
638,Sage Charter School,charter
639,Shasta Elementary School,traditional
640,Stearns Elementary School,traditional
642,A D Hay School And Fremont School,traditional
645,Daly Middle School,traditional
646,Lakeview High School,traditional
647,North Lake School,traditional
649,Paisley School District,charter
652,Union Elementary,traditional
653,Academy Of Arts & Academics,charter
654,Ace Charter School,charter
655,Adams Elementary School,traditional
656,Agnes Stewart Middle School,traditional
657,Al Kennedy Alternative High School,traditional
658,Applegate Elementary,traditional
659,Arts And Technology Academy,traditional
660,Awbrey Park Elementary School,traditional
662,Bohemia Elementary School,traditional
665,Briggs Middle School,traditional
666,Buena Vista Elementary School,traditional
667,Cal Young Middle School,traditional
668,Camas Ridge Community Elementary,traditional
669,Cascade Middle School,traditional
670,Centennial Elementary School,traditional
671,Charlemagne French Immersion Elementary School,traditional
672,Chavez Elementary,traditional
674,Child's Way Charter,charter
675,Churchill High School,traditional
676,Clear Lake Elementary,traditional
677,Coburg Community Charter School,charter
678,Community Transitions Program,traditional
679,Corridor Elementary School,traditional
680,Cottage Grove High School,traditional
682,Creslane Elementary School,traditional
684,Creswell High School,traditional
685,Creswell Middle School,traditional
686,Crow Middle/High School,traditional
687,Danebo Elementary,traditional
688,Dorena Elementary School,traditional
689,Douglas Garden Elementary,traditional
691,Edgewood Community School,traditional
692,Edison Elementary School,traditional
693,Elizabeth Page Elementary,traditional
694,Elmira Elementary School,traditional
695,Elmira High School,traditional
698,Eugene Education Options,traditional
702,Fairfield Elementary,traditional
703,Family School,traditional
705,Fern Ridge Middle School,traditional
707,Gateways High School,traditional
708,Gilham Elementary School,traditional
710,Guy Lee Elementary,traditional
711,Hamlin Middle School,traditional
712,Harrison Elementary School,traditional
713,Holt Elementary School,traditional
715,Howard Elementary School,traditional
717,Irving Elementary,traditional
720,Junction City High School,traditional
721,Kalapuya High School,traditional
722,Kelly Middle School,traditional
723,Kennedy Middle School,traditional
726,Latham Elementary School,traditional
727,Laurel Elementary School,traditional
730,Lincoln Middle School,traditional
733,London Elementary School,traditional
738,Lowell Junior/Senior High School,traditional
739,Lundy Elementary School,traditional
740,Madison Middle School,traditional
741,Malabon Elementary,traditional
742,Maple Elementary,traditional
743,Mapleton Elementary School,traditional
744,Mapleton High School,traditional
745,Marcola Elementary/High Schools,traditional
748,McCornack Elementary School,traditional
750,McKenzie Elementary/High Schools,traditional
751,Meadow View School,traditional
752,Monroe Middle School,traditional
753,Mountain View Academy,charter
754,Mt Vernon Elementary,traditional
756,Network Charter School,charter
757,North Eugene High School,traditional
760,Oaklea Middle School,traditional
761,Oakridge High School,traditional
762,Oakridge Elementary School,traditional
763,Oakridge Junior High,traditional
766,Pleasant Hill Elementary School,traditional
767,Pleasant Hill High School,traditional
768,Prairie Mountain School,traditional
769,Ridgeline Montessori,charter
770,Ridgeview Elementary,traditional
771,River Road/El Camino Del Rio Elementary School,traditional
772,Riverbend Elementary,traditional
773,Roosevelt Middle School,traditional
775,Shasta Middle School,traditional
776,Sheldon High School,traditional
777,Siuslaw Elementary School,traditional
778,Siuslaw High School,traditional
779,Siuslaw Middle School,traditional
780,South Eugene High School,traditional
781,Spencer Butte Middle School,traditional
782,Spring Creek Elementary School,traditional
784,Springfield High School,traditional
785,Sps Night School,traditional
791,Territorial Elementary,traditional
792,Thurston Elementary,traditional
793,Thurston High School,traditional
794,Thurston Middle School,traditional
795,Triangle Lake Charter Elementary School,charter
796,Triangle Lake Charter Middle School,charter
797,Triangle Lane Charter High School,charter
798,Twin Oaks Elementary School,traditional
800,Two Rivers Dos Rios Elementary,traditional
801,Veneta Elementary School,traditional
802,Village School,charter
803,Walterville Elementary,traditional
805,West Lane Technical Learning Center,charter
806,Willagillespie Elementary School,traditional
808,Willamette High School,traditional
809,Willamette Leadership Academy-High School,charter
810,Willamette Leadership Academy-Middle,charter
811,Yolanda Elementary,traditional
812,Yujin Gakuen Elementary,traditional
813,Crestview Heights,traditional
814,Eddyville Elementary School,charter
815,Eddyville Secondary Charter School,charter
817,Lc Career Tech High School,charter
818,Newport High,traditional
819,Newport Middle,traditional
820,Oceanlake Elementary,traditional
821,Sam Case Elementary,traditional
823,Siletz Valley Chart School,charter
824,Siletz Valley Early College Academy,charter
825,Taft Elementary,traditional
826,Taft High,traditional
827,Taft Middle School,traditional
828,Toledo Elementary,traditional
829,Toledo High School,traditional
830,Toledo Junior High,traditional
831,Waldport High School,traditional
832,Waldport Middle School,traditional
833,Yaquina View Elementary,traditional
836,Albany Options School,traditional
838,Calapooia Middle School,traditional
839,Cascades School,traditional
840,Centennial Elementary,traditional
841,Central Elementary,traditional
842,Central Linn Elementary School,traditional
843,Central Linn Middle/High School,traditional
845,Clover Ridge Elementary,traditional
848,Foster Elementary,traditional
849,Green Acres School,traditional
850,Hamilton Creek School,traditional
851,Harrisburg High School,traditional
852,Harrisburg Elementary,traditional
853,Harrisburg Middle,traditional
854,Hawthorne Elementary,traditional
855,Holley Elementary,traditional
856,Lacomb School,traditional
857,Lafayette Elementary,traditional
859,Lebanon High School,traditional
861,Liberty Elementary,traditional
864,Lourdes,charter
865,Mari-Linn,traditional
866,Memorial Middle School,traditional
867,Oak Elementary,traditional
868,Oak Heights Elementary,traditional
869,Oregon Connections Academy,traditional
871,Oregon Youth Authority Three Lakes High,traditional
872,Periwinkle Elementary,traditional
873,Pioneer School,traditional
874,Riverview School,traditional
875,Sand Ridge Charter School,charter
876,Santiam Elementary,traditional
877,Santiam Jr/Sr High,traditional
878,Scio High School,traditional
879,Scio Middle School,traditional
880,Seven Oak Middle School,traditional
881,South Albany High School,traditional
882,South Shore Elementary,traditional
885,Sunrise Elementary School,traditional
886,Sweet Home Charter School,charter
887,Sweet Home High School,traditional
888,Sweet Home Junior High School,traditional
889,Takena Elementary School,traditional
890,Tangent Elementary School,traditional
891,Timber Ridge School,traditional
892,Waverly Elementary School,traditional
893,West Albany High School,traditional
894,Adrian Elementary & Middle School,traditional
895,Adrian High School,traditional
896,Aiken Elementary School,traditional
897,Alameda Elementary,traditional
898,Annex Charter School,charter
899,Cairo Elementary School,traditional
900,Four Rivers Community School,charter
903,Harper Elementary School,charter
904,Jordan Valley Elementary School,traditional
905,Jordan Valley High School,traditional
907,May Roberts Elementary,traditional
909,Nyssa Elementary School,traditional
910,Nyssa High School,traditional
911,Nyssa Middle School,traditional
912,Ontario High School,traditional
913,Ontario Middle School,traditional
914,Pioneer Elementary School,traditional
917,Vale Elementary School,traditional
918,Vale High School,traditional
919,Vale Middle School,traditional
920,Willow Creek School,traditional
921,Ww Jones - Arock School,traditional
924,Auburn Elementary,traditional
925,Aumsville Elementary 3-5,traditional
926,Aumsville Elementary K-2,traditional
927,Battle Creek Elementary,traditional
928,Bethany Charter School,charter
930,Bud To Blossom Day Care,traditional
931,Bush Elementary,traditional
933,Candalaria Elementary,traditional
934,Cascade Junior High School,traditional
935,Cascade Senior High School,traditional
937,Centennial Ctp,traditional
938,Central Howell Elementary,traditional
939,Cesar E Chavez Elementary,traditional
940,Chemawa Indian Clinic/School,traditional
941,Chemeketa Ctp,traditional
943,Claggett Creek Middle,traditional
944,Clear Lake Elementary,traditional
945,Cloverdale Elementary School #5,traditional
949,Crossler Middle,traditional
950,Cummings Elementary,traditional
952,Eagle Charter School,charter
953,Early College High School,traditional
954,Englewood Elementary,traditional
955,Evergreen Elementary School #4,traditional
956,Eyre Elementary,traditional
957,Forest Ridge Elementary,traditional
958,Four Corners,traditional
959,French Prairie Middle School #103,traditional
960,Gervais Elementary,traditional
961,Gervais High,traditional
962,Gervais Middle,traditional
964,Grant Elementary School,traditional
965,Gubser Elementary,traditional
967,Hallman Elementary,traditional
968,Hammond Elementary,traditional
969,Hayesville Elementary,traditional
970,Heritage Elementary,traditional
972,Highland Elementary,traditional
973,Hillcrest-Robert Farrell School,traditional
975,Hoover Elementary,traditional
976,Houck Middle,traditional
977,Howard St. Charter,charter
979,Jane Goodall Charter School,charter
980,Jefferson Elementary,traditional
981,Jefferson High School,traditional
982,Jefferson Middle School,traditional
983,John F. Kennedy High School,traditional
984,Judson Middle,traditional
985,Keizer Elementary,traditional
986,Kennedy Elementary,traditional
987,Lamb Elementary,traditional
988,Lee Elementary,traditional
989,Leslie Middle School,traditional
990,Liberty Elementary,traditional
991,Lincoln Elementary #103,traditional
994,Maclaren - Lord High,traditional
995,Mark Twain Elementary School,traditional
996,McKay High School,traditional
997,McKinley Elementary,traditional
998,McNary High School,traditional
999,Micah Ctp,traditional
1000,Miller Elementary,traditional
1001,Montessori Discovery Center 1,traditional
1003,Morningside Elementary,traditional
1004,Mt. Angel Middle School,traditional
1005,Nellie Muir Elementary #103,traditional
1006,North Marion High #15,traditional
1007,North Marion Intermediate #15,traditional
1008,North Marion Middle #15,traditional
1009,North Marion Primary #15,traditional
1010,North Salem High,traditional
1011,Ole Charter School,charter
1013,Osh - Quest Adult School-Willamette ESD,traditional
1015,Parrish Middle School,traditional
1016,Pratum Elementary,traditional
1018,Pringle Elementary,traditional
1021,Richmond Elementary,traditional
1022,Robert Frost School #4,traditional
1024,Roberts High School Slc,traditional
1025,Roberts High School-Dtlc,traditional
1026,Roberts High School-Skon,traditional
1027,Roberts High School-Soph,traditional
1034,Salem Heights Elementary,traditional
1036,Samuel Brown Academy,traditional
1037,Schirle Elementary,traditional
1038,Scott Elementary,traditional
1039,Scotts Mills #4,traditional
1040,Silver Crest School,traditional
1042,Silverton High,traditional
1043,Silverton Middle School,traditional
1045,South Salem High School,traditional
1046,Sprague High School,traditional
1052,St. Mary's School,traditional
1054,St. Paul High,traditional
1057,Stayton Elementary #29,traditional
1058,Stayton High School,traditional
1059,Stayton Intermediate,traditional
1060,Stayton Middle School #29,traditional
1061,Stephens Middle School,traditional
1062,Sublimity Elementary Sd 7,traditional
1063,Sumpter Elementary,traditional
1064,Swegle Elementary,traditional
1066,The Community Roots School,charter
1068,Turner Elementary #5,traditional
1070,Valley Inquiry Charter,charter
1071,Valor Middle School #103,traditional
1072,Victor Point #4,traditional
1073,Waldo Middle School,traditional
1074,Washington Elementary,traditional
1075,Washington Elementary-Woodburn,traditional
1076,Weddle Elementary,traditional
1078,Whiteaker Middle,traditional
1082,Woodburn Arthur Academy,charter
1083,Woodburn H.S. (Waast),traditional
1084,Woodburn H.S. (Waca),traditional
1085,Woodburn H.S. (Webss),traditional
1086,Woodburn H.S.(Ais),traditional
1087,Woodburn H.S.Success,traditional
1088,Wright Elementary,traditional
1089,Yoshikai Elementary,traditional
1090,Ac Houghton Elementary,traditional
1091,Heppner Elementary,traditional
1092,Heppner High/Middle School,traditional
1093,Ione Community School,charter
1094,Irrigon Elementary,traditional
1095,Irrigon Junior-Senior High School,traditional
1097,Riverside High School,traditional
1098,Sam Boardman Elementary,traditional
1099,Windy River Elementary,traditional
1100,Abernethy Elementary,traditional
1102,Ainsworth Elementary,traditional
1103,Alameda Elementary,traditional
1104,Alder Elementary,traditional
1105,Alice Ott Middle School,traditional
1107,Alliance High School @ Benson Campus,traditional
1108,Alliance High School At Meek,traditional
1111,Arleta K-8,traditional
1426,Perrydale Elementary,traditional
1112,Arthur Academy Charter (David Douglas S. D.),charter
1113,Arthur Academy Charter (Portland Public Schools),charter
1114,Astor K-8,traditional
1115,Atkinson Elementary,traditional
1116,Beach Pk-8,traditional
1117,Beaumont Middle School,traditional
1118,Benson Polytechnic High School,traditional
1119,Beverly Cleary K-8,traditional
1120,Boise-Eliot Pk-8,traditional
1122,Bridger K-8,traditional
1124,Bridlemile E.S.,traditional
1125,Buckman Elementary,traditional
1128,Butler Creek E.S.,traditional
1132,Capitol Hill Elementary,traditional
1136,Centennial High School,traditional
1137,Centennial Middle School,traditional
1138,Centennial Park School,traditional
1139,Center For Advanced Learning,charter
1142,Cesar Chavez School K-8,traditional
1143,Chapman Elementary,traditional
1144,Cherry Park Elementary,traditional
1146,Chief Joseph,traditional
1154,Clear Creek Middle School,traditional
1155,Cleveland High School,traditional
1159,Corbett Grade School,traditional
1160,Corbett High School,traditional
1161,Corbett Middle School,traditional
1164,Creative Science School Pk-8,traditional
1165,Creston Pk-8,traditional
1427,Perrydale Middle/High,traditional
1166,Damascus Middle School,traditional
1169,David Douglas High School,traditional
1170,Davinci Arts Middle School,traditional
1171,Davis Elementary,traditional
1174,Deep Creek Elementary,traditional
1176,Dexter McCarty Middle School,traditional
1177,Duniway Elementary,traditional
1178,Earl Boyles Elementary,traditional
1179,East Gresham Elementary,traditional
1180,East Orient Elementary,traditional
1182,Emerson School The,charter
1183,Fairview Elementary,traditional
1184,Faubion Elementary,traditional
1186,Floyd Light Middle School,traditional
1187,Forest Park Elementary,traditional
1190,Franklin High School,traditional
1194,George Middle School,traditional
1195,Gilbert Heights Elementary,traditional
1196,Gilbert Park Elementary,traditional
1197,Glencoe Elementary,traditional
1198,Glenfair Elementary,traditional
1199,Gordon Russell Middle School,traditional
1201,Grant High School,traditional
1203,Gresham Arthur Academy,charter
1204,Gresham High School,traditional
1205,Grout Elementary,traditional
1206,Hall Elementary,traditional
