State,Senator_x,First Name_x,Last Name,Official Senator Twitter Id,Senate Staff Twitter Id,Campaign/Other ID,Facebook (WIP),address,bioguide_id,class,email,First Name_y,leadership_position,member_full,party,phone,state,website,Senator_y,Abr.,Capital,Screen Name,Preferred Name,Image,Time,Description,Link,Text,Verified?,account_type,DateTime,Date,Address
Ohio,Sherrod Brown,Sherrod,Brown,@SenSherrodBrown,,@SherrodBrown,,713 Hart Senate Office Building Washington DC 20510,B000944,Class I,http://www.brown.senate.gov/contact/,Sherrod,,Brown (D-OH),D,(202) 224-2315,OH,http://www.brown.senate.gov/,Sherrod Brown,OH,Columbus,@SenSherrodBrown,Sherrod Brown,http://pbs.twimg.com/profile_images/523158370333638657/cLmYIfYa_normal.jpeg,22:19:51,Office of United States Senator Sherrod Brown. Proud to serve Ohio. Tweets from Sherrod signed -SB.,https://twitter.com/i/web/status/896496478834876417,Ohio stands behind Virginia as the state copes with this senseless violence. My full statement: https://t.co/7lAXMmzkbD,TRUE,Official,2017-08-12 22:19:51,2017-08-12,"Columbus, OH"
Ohio,Sherrod Brown,Sherrod,Brown,@SenSherrodBrown,,@SherrodBrown,,713 Hart Senate Office Building Washington DC 20510,B000944,Class I,http://www.brown.senate.gov/contact/,Sherrod,,Brown (D-OH),D,(202) 224-2315,OH,http://www.brown.senate.gov/,Sherrod Brown,OH,Columbus,@SenSherrodBrown,Sherrod Brown,http://pbs.twimg.com/profile_images/523158370333638657/cLmYIfYa_normal.jpeg,17:28:25,Office of United States Senator Sherrod Brown. Proud to serve Ohio. Tweets from Sherrod signed -SB.,https://twitter.com/i/web/status/896785526589722625,"Thoughts are with Bill Burke, his loved ones, and all those affected by yesterday's violence in Charlottesville. https://t.co/y6nB3wJwKt",TRUE,Official,2017-08-13 17:28:25,2017-08-13,"Columbus, OH"
Ohio,Sherrod Brown,Sherrod,Brown,@SenSherrodBrown,,@SherrodBrown,,713 Hart Senate Office Building Washington DC 20510,B000944,Class I,http://www.brown.senate.gov/contact/,Sherrod,,Brown (D-OH),D,(202) 224-2315,OH,http://www.brown.senate.gov/,Sherrod Brown,OH,Columbus,@SherrodBrown,Sherrod Brown,http://pbs.twimg.com/profile_images/655038768290877440/WOgOjCU__normal.jpg,15:47:38,"Official account for Sherrod Brown's Senate campaign. 
Tweets from Sherrod are signed -sb.",https://twitter.com/i/web/status/897122551939424257,"We must not tolerate racism, threats, intimidation or violence. -SB https://t.co/CezqzLRhBl",TRUE,Other/Campaign,2017-08-14 15:47:38,2017-08-14,"Columbus, OH"
North Carolina,Richard Burr,Richard,Burr,@SenatorBurr,,@Burrforsenate,,217 Russell Senate Office Building Washington DC 20510,B001135,Class III,https://www.burr.senate.gov/contact/email,Richard,,Burr (R-NC),R,(202) 224-3154,NC,http://www.burr.senate.gov,Richard Burr,NC,Raleigh,@SenatorBurr,Richard Burr,http://pbs.twimg.com/profile_images/588079658819653632/wwdO4Eqv_normal.jpg,20:01:46,"U.S. Senator from North Carolina, Chairman of the Senate Select Committee on Intelligence",https://twitter.com/i/web/status/897186506368069632,"My statement on Saturday's events in Charlottesville, Virginia: https://t.co/lyjrkiJkwr",TRUE,Official,2017-08-14 20:01:46,2017-08-14,"Raleigh, NC"
North Carolina,Richard Burr,Richard,Burr,@SenatorBurr,,@Burrforsenate,,217 Russell Senate Office Building Washington DC 20510,B001135,Class III,https://www.burr.senate.gov/contact/email,Richard,,Burr (R-NC),R,(202) 224-3154,NC,http://www.burr.senate.gov,Richard Burr,NC,Raleigh,,,,,,,,,,,,
Washington,Maria Cantwell,Maria,Cantwell,@SenatorCantwell,,@MariaCantwell,,511 Hart Senate Office Building Washington DC 20510,C000127,Class I,http://www.cantwell.senate.gov/public/index.cfm/email-maria,Maria,,Cantwell (D-WA),D,(202) 224-3441,WA,http://www.cantwell.senate.gov,Maria Cantwell,WA,Olympia,@SenatorCantwell,Sen. Maria Cantwell,http://pbs.twimg.com/profile_images/693192439046103041/I5UrYsCi_normal.jpg,21:20:13,"U.S. Senator from Washington State | Tweets from Maria are signed –MC | Facebook:https://t.co/qLmMk10nJI
RT≠endorsement",https://twitter.com/i/web/status/896843859061202946,The hate and bigotry shown in Charlottesville is deplorable and contrary to America's values of acceptance and respect.,TRUE,Official,2017-08-13 21:20:13,2017-08-13,"Olympia, WA"
West Virginia,Shelley Moore Capito,Shelley Moore,Capito,@SenCapito,,@CapitoforWV,,172 Russell Senate Office Building Washington DC 20510,C001047,Class II,https://www.capito.senate.gov/contact/contact-shelley,Shelley Moore,,Capito (R-WV),R,(202) 224-6472,WV,http://www.capito.senate.gov,Shelley Moore Capito,WV,Charleston,@SenCapito,Shelley Moore Capito,http://pbs.twimg.com/profile_images/570247761044312064/gBmXhrin_normal.jpeg,17:01:26,Proudly serving West Virginia in the United States Senate.,https://twitter.com/i/web/status/896053959659364352,.@nytimes: WV is leading the way in turning vocational education into a fuel source for state’s economic revival: https://t.co/x282kQCOhU,TRUE,Official,2017-08-11 17:01:26,2017-08-11,"Charleston, WV"
West Virginia,Shelley Moore Capito,Shelley Moore,Capito,@SenCapito,,@CapitoforWV,,172 Russell Senate Office Building Washington DC 20510,C001047,Class II,https://www.capito.senate.gov/contact/contact-shelley,Shelley Moore,,Capito (R-WV),R,(202) 224-6472,WV,http://www.capito.senate.gov,Shelley Moore Capito,WV,Charleston,@SenCapito,Shelley Moore Capito,http://pbs.twimg.com/profile_images/570247761044312064/gBmXhrin_normal.jpeg,19:51:08,Proudly serving West Virginia in the United States Senate.,https://twitter.com/i/web/status/896459053899161601,Acts of hate and violence like what we're seeing in #Charlottesville have no place in our country.,TRUE,Official,2017-08-12 19:51:08,2017-08-12,"Charleston, WV"
West Virginia,Shelley Moore Capito,Shelley Moore,Capito,@SenCapito,,@CapitoforWV,,172 Russell Senate Office Building Washington DC 20510,C001047,Class II,https://www.capito.senate.gov/contact/contact-shelley,Shelley Moore,,Capito (R-WV),R,(202) 224-6472,WV,http://www.capito.senate.gov,Shelley Moore Capito,WV,Charleston,@SenCapito,Shelley Moore Capito,http://pbs.twimg.com/profile_images/570247761044312064/gBmXhrin_normal.jpeg,19:08:58,Proudly serving West Virginia in the United States Senate.,https://twitter.com/i/web/status/897173215960862721,Asked @POTUS for his support as northern #WV rebuilds &amp; recovers following the flood last month. Read the letter: https://t.co/D7CmsP5Hm7,TRUE,Official,2017-08-14 19:08:58,2017-08-14,"Charleston, WV"
West Virginia,Shelley Moore Capito,Shelley Moore,Capito,@SenCapito,,@CapitoforWV,,172 Russell Senate Office Building Washington DC 20510,C001047,Class II,https://www.capito.senate.gov/contact/contact-shelley,Shelley Moore,,Capito (R-WV),R,(202) 224-6472,WV,http://www.capito.senate.gov,Shelley Moore Capito,WV,Charleston,@SenCapito,Shelley Moore Capito,http://pbs.twimg.com/profile_images/570247761044312064/gBmXhrin_normal.jpeg,15:37:08,Proudly serving West Virginia in the United States Senate.,https://twitter.com/i/web/status/897119909825703936,The hate &amp; violence expressed by Neo-Nazis &amp; other white nationalists groups in #Charlottesville has absolutely no place in America.,TRUE,Official,2017-08-14 15:37:08,2017-08-14,"Charleston, WV"
Maryland,Ben Cardin,Ben,Cardin,@SenatorCardin,,@BenCardinforMD,,509 Hart Senate Office Building Washington DC 20510,C000141,Class I,http://www.cardin.senate.gov/contact/,Benjamin,,Cardin (D-MD),D,(202) 224-4524,MD,http://www.cardin.senate.gov/,Benjamin Cardin,MD,Annapolis,@SenatorCardin,Senator Ben Cardin,http://pbs.twimg.com/profile_images/819389297497358336/roJC8ZOo_normal.jpg,23:21:04,"U.S. Senator Ben Cardin of MD. Ranking Member, Foreign Relations Committee. https://t.co/H6tSwFVj7t https://t.co/Qon77TTwV7…",https://twitter.com/i/web/status/896511883834011648,As we laud 125 yrs of @afronews I believe JohnMurphySr. would recognize the hate trespassing in #Charlottesville ... https://t.co/IJowIOj9Dm,TRUE,Official,2017-08-12 23:21:04,2017-08-12,"Annapolis, MD"
Maryland,Ben Cardin,Ben,Cardin,@SenatorCardin,,@BenCardinforMD,,509 Hart Senate Office Building Washington DC 20510,C000141,Class I,http://www.cardin.senate.gov/contact/,Benjamin,,Cardin (D-MD),D,(202) 224-4524,MD,http://www.cardin.senate.gov/,Benjamin Cardin,MD,Annapolis,@SenatorCardin,Senator Ben Cardin,http://pbs.twimg.com/profile_images/819389297497358336/roJC8ZOo_normal.jpg,19:40:01,"U.S. Senator Ben Cardin of MD. Ranking Member, Foreign Relations Committee. https://t.co/H6tSwFVj7t https://t.co/Qon77TTwV7…",https://twitter.com/i/web/status/897181032423796736,I'm glad @POTUS called the hatemongers in #Charlottesville what they are: white supremacists and racists. But troubled it took so long.,TRUE,Official,2017-08-14 19:40:01,2017-08-14,"Annapolis, MD"
Maryland,Ben Cardin,Ben,Cardin,@SenatorCardin,,@BenCardinforMD,,509 Hart Senate Office Building Washington DC 20510,C000141,Class I,http://www.cardin.senate.gov/contact/,Benjamin,,Cardin (D-MD),D,(202) 224-4524,MD,http://www.cardin.senate.gov/,Benjamin Cardin,MD,Annapolis,@SenatorCardin,Senator Ben Cardin,http://pbs.twimg.com/profile_images/819389297497358336/roJC8ZOo_normal.jpg,18:52:43,"U.S. Senator Ben Cardin of MD. Ranking Member, Foreign Relations Committee. https://t.co/H6tSwFVj7t https://t.co/Qon77TTwV7…",https://twitter.com/i/web/status/896444353991905280,The hate on display in #Charlottesville is horrific &amp; un-American. I am united w/all those who unambiguously condemn the bigotry &amp;violence,TRUE,Official,2017-08-12 18:52:43,2017-08-12,"Annapolis, MD"
Delaware,Tom Carper,Tom,Carper,@SenatorCarper,@SenCarper_Press,@TomCarperforDE,,513 Hart Senate Office Building Washington DC 20510,C000174,Class I,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,Thomas,,Carper (D-DE),D,(202) 224-2441,DE,http://www.carper.senate.gov,Thomas Carper,DE,Dover,@SenatorCarper,Senator Tom Carper,http://pbs.twimg.com/profile_images/378800000497501114/77d2bd85a246e66e8f77670018fbaaca_normal.jpeg,16:34:20,U.S. Senator for Delaware | Ranking Member of @EPWDems,https://twitter.com/i/web/status/897134304383430656,"Hatred will not tear us apart. It will only serve to bring us together, to stand taller together against bigotry. https://t.co/2dqApTX2pB",TRUE,Official,2017-08-14 16:34:20,2017-08-14,"Dover, DE"
Delaware,Tom Carper,Tom,Carper,@SenatorCarper,@SenCarper_Press,@TomCarperforDE,,513 Hart Senate Office Building Washington DC 20510,C000174,Class I,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,Thomas,,Carper (D-DE),D,(202) 224-2441,DE,http://www.carper.senate.gov,Thomas Carper,DE,Dover,@SenatorCarper,Senator Tom Carper,http://pbs.twimg.com/profile_images/378800000497501114/77d2bd85a246e66e8f77670018fbaaca_normal.jpeg,21:15:22,U.S. Senator for Delaware | Ranking Member of @EPWDems,https://twitter.com/i/web/status/896480252058271745,The hatred &amp; violence in #Charlottesville is sickening. We all have a moral obligation to unambiguously condemn this &amp; bigotry in all forms,TRUE,Official,2017-08-12 21:15:22,2017-08-12,"Dover, DE"
Pennsylvania,"Bob Casey, Jr.",Bob,Casey,@SenBobCasey,,@Bob_Casey,,393 Russell Senate Office Building Washington DC 20510,C001070,Class I,https://www.casey.senate.gov/contact/,Robert,,Casey (D-PA),D,(202) 224-6324,PA,http://www.casey.senate.gov/,Robert Casey,PA,Harrisburg,@SenBobCasey,Senator Bob Casey,http://pbs.twimg.com/profile_images/748886037649297408/B4cLMsR__normal.jpg,18:40:05,Official twitter profile for U.S. Senator Bob Casey.,https://twitter.com/i/web/status/896803560226160640,"Today our nation mourns for Heather Heyer, who was murdered in yesterday’s domestic terror attack in Charlottesville, and her family.",TRUE,Official,2017-08-13 18:40:05,2017-08-13,"Harrisburg, PA"
Louisiana,Bill Cassidy,Bill,Cassidy,@BillCassidy,,,,520 Hart Senate Office Building Washington DC 20510,C001075,Class II,https://www.cassidy.senate.gov/contact,Bill,,Cassidy (R-LA),R,(202) 224-5824,LA,http://www.cassidy.senate.gov,Bill Cassidy,LA,Baton Rouge,@BillCassidy,Bill Cassidy,http://pbs.twimg.com/profile_images/811322431029837824/OIMky_X__normal.jpg,20:53:08,U.S. Senator for Louisiana,https://twitter.com/i/web/status/896474657758609408,#Charlottesville https://t.co/JpYKjo1V6u,TRUE,Official,2017-08-12 20:53:08,2017-08-12,"Baton Rouge, LA"
Mississippi,Thad Cochran,Thad,Cochran,@SenThadCochran,,,,113 Dirksen Senate Office Building Washington DC 20510,C000567,Class II,https://www.cochran.senate.gov/public/index.cfm/email-me,Thad,,Cochran (R-MS),R,(202) 224-5054,MS,http://www.cochran.senate.gov,Thad Cochran,MS,Jackson,,,,,,,,,,,,
Maine,Susan Collins,Susan,Collins,@SenatorCollins,,@collins4senator,,413 Dirksen Senate Office Building Washington DC 20510,C001035,Class II,http://www.collins.senate.gov/contact,Susan,,Collins (R-ME),R,(202) 224-2523,ME,http://www.collins.senate.gov,Susan Collins,ME,Augusta,@SenatorCollins,Sen. Susan Collins,http://pbs.twimg.com/profile_images/588697537013383168/Kf_x_1u1_normal.jpg,15:12:24,"United States Senator from Maine. 

All tweets originate from the Press Office of Senator Susan Collins.",https://twitter.com/i/web/status/896751295918473217,"The violence in Charlottesville is domestic terrorism. Hatred, racism, and bigotry have no place in our country.",TRUE,Official,2017-08-13 15:12:24,2017-08-13,"Augusta, ME"
Delaware,Chris Coons,Chris,Coons,@ChrisCoons,@SenCoonsOffice,@coons4delaware,,127A Russell Senate Office Building Washington DC 20510,C001088,Class II,https://www.coons.senate.gov/contact,Christopher,,Coons (D-DE),D,(202) 224-5042,DE,http://www.coons.senate.gov/,Christopher Coons,DE,Dover,@ChrisCoons,Senator Chris Coons,http://pbs.twimg.com/profile_images/846369349350936577/uF2yjqLE_normal.jpg,3:27:09,"Father, husband, U.S. Senator from the State of Delaware",https://twitter.com/i/web/status/896936202204581889,RT @thenetworkde: Senator @ChrisCoons speaks at rally in solidarity with #Charlottesville #netDE https://t.co/H0jX1S604u,TRUE,Official,2017-08-14 3:27:09,2017-08-14,"Dover, DE"
Delaware,Chris Coons,Chris,Coons,@ChrisCoons,@SenCoonsOffice,@coons4delaware,,127A Russell Senate Office Building Washington DC 20510,C001088,Class II,https://www.coons.senate.gov/contact,Christopher,,Coons (D-DE),D,(202) 224-5042,DE,http://www.coons.senate.gov/,Christopher Coons,DE,Dover,@ChrisCoons,Senator Chris Coons,http://pbs.twimg.com/profile_images/846369349350936577/uF2yjqLE_normal.jpg,21:29:38,"Father, husband, U.S. Senator from the State of Delaware",https://twitter.com/i/web/status/896483841224912897,Today's rally in #Charlottesville was a disturbing display by white supremacists and KKK members seeking to stoke division in our country,TRUE,Official,2017-08-12 21:29:38,2017-08-12,"Dover, DE"
Tennessee,Bob Corker,Bob,Corker,@SenBobCorker,,@CorkerforTN,,425 Dirksen Senate Office Building Washington DC 20510,C001071,Class I,https://www.corker.senate.gov/public/index.cfm/emailme,Bob,,Corker (R-TN),R,(202) 224-3344,TN,http://www.corker.senate.gov/,Bob Corker,TN,Nashville,@SenBobCorker,Senator Bob Corker,http://pbs.twimg.com/profile_images/831147337577852928/SHFe9E5h_normal.jpg,20:40:28,Official news and updates from United States Senator Bob Corker (R-Tennessee) and his staff.,https://twitter.com/i/web/status/896471471085674496,We stand united against the violence and hatred in #Charlottesville and pray for the victims of the attacks.,TRUE,Official,2017-08-12 20:40:28,2017-08-12,"Nashville, TN"
Texas,John Cornyn,John,Cornyn,@JohnCornyn,,@TeamCornyn,,517 Hart Senate Office Building Washington DC 20510,C001056,Class II,https://www.cornyn.senate.gov/contact,John,Assistant Majority Leader,Cornyn (R-TX),R,(202) 224-2934,TX,http://www.cornyn.senate.gov/,John Cornyn,TX,Austin,@JohnCornyn,JohnCornyn,http://pbs.twimg.com/profile_images/60719406/cornyntwitter_normal.jpg,4:36:37,Honored to represent the great state of Texas in the US Senate.,https://twitter.com/i/web/status/896591297808433153,No place for the bigotry &amp; hate-filled violence in #Charlottesville. These actions should be condemned in the strongest possible terms.,TRUE,Official,2017-08-13 4:36:37,2017-08-13,"Austin, TX"
Nevada,Catherine Cortez Masto,Catherine,Cortez Masto,@SenCortezMasto,,@CatherineForNV @cortezmasto(En Espa̱ol),catherinecortezmasto,204 Russell Senate Office Building Washington DC 20510,C001113,Class III,https://www.cortezmasto.senate.gov/contact,Catherine,,Cortez Masto (D-NV),D,(202) 224-3542,NV,http://www.cortezmasto.senate.gov,Catherine Cortez Masto,NV,Carson City,,,,,,,,,,,,
Arkansas,Tom Cotton,Tom,Cotton,@SenTomCotton,,@TomCottonAR,,124 Russell Senate Office Building Washington DC 20510,C001095,Class II,http://www.cotton.senate.gov/?p=contact,Tom,,Cotton (R-AR),R,(202) 224-2353,AR,http://www.cotton.senate.gov,Tom Cotton,AR,Little Rock,@SenTomCotton,Tom Cotton,http://pbs.twimg.com/profile_images/568884049058357248/M-VeVL9u_normal.jpeg,13:17:24,U.S. Senator proudly serving the state of Arkansas.,https://twitter.com/i/web/status/896722357431259140,My statement on the violence in Charlottesville: https://t.co/0xowWIZ4Hb https://t.co/50mptAz2Pv,TRUE,Official,2017-08-13 13:17:24,2017-08-13,"Little Rock, AR"
Idaho,Mike Crapo,Mike,Crapo,@MikeCrapo,,@crapo4senate,,239 Dirksen Senate Office Building Washington DC 20510,C000880,Class III,https://www.crapo.senate.gov/contact,Mike,,Crapo (R-ID),R,(202) 224-6142,ID,http://www.crapo.senate.gov,Mike Crapo,ID,Boise,@MikeCrapo,Senator Mike Crapo,http://pbs.twimg.com/profile_images/2286763334/atyer80hkqhdwmgk73t0_normal.jpeg,21:01:09,United States Senator for the great state of Idaho.,https://twitter.com/i/web/status/896839062924836864,My statement on Saturday's event in #Charlottesville. https://t.co/nEowcJUszJ,TRUE,Official,2017-08-13 21:01:09,2017-08-13,"Boise, ID"
Texas,Ted Cruz,Ted,Cruz,@SenTedCruz,,@tedcruz,,404 Russell Senate Office Building Washington DC 20510,C001098,Class I,http://www.cruz.senate.gov/?p=email_senator,Ted,,Cruz (R-TX),R,(202) 224-5922,TX,http://www.cruz.senate.gov,Ted Cruz,TX,Austin,@tedcruz,Ted Cruz,http://pbs.twimg.com/profile_images/727845526805188614/Becds2yE_normal.jpg,19:15:47,"Father of two, @heidiscruz's husband, fighter for liberty. Representing the great state of Texas in the U.S. Senate.",https://twitter.com/i/web/status/896450159428677633,I am saddened and disappointed by the hate on display this weekend in Charlottesville https://t.co/h7wa661eDv,TRUE,Other/Campaign,2017-08-12 19:15:47,2017-08-12,"Austin, TX"
Texas,Ted Cruz,Ted,Cruz,@SenTedCruz,,@tedcruz,,404 Russell Senate Office Building Washington DC 20510,C001098,Class I,http://www.cruz.senate.gov/?p=email_senator,Ted,,Cruz (R-TX),R,(202) 224-5922,TX,http://www.cruz.senate.gov,Ted Cruz,TX,Austin,@tedcruz,Ted Cruz,http://pbs.twimg.com/profile_images/727845526805188614/Becds2yE_normal.jpg,6:48:42,"Father of two, @heidiscruz's husband, fighter for liberty. Representing the great state of Texas in the U.S. Senate.",https://twitter.com/i/web/status/896624535239147520,RT @DailyCaller: Ted Cruz Calls On Justice Department To Investigate Charlottesville Attack As Domestic Terrorism https://t.co/Z3ro9hmgtM h…,TRUE,Other/Campaign,2017-08-13 6:48:42,2017-08-13,"Austin, TX"
Texas,Ted Cruz,Ted,Cruz,@SenTedCruz,,@tedcruz,,404 Russell Senate Office Building Washington DC 20510,C001098,Class I,http://www.cruz.senate.gov/?p=email_senator,Ted,,Cruz (R-TX),R,(202) 224-5922,TX,http://www.cruz.senate.gov,Ted Cruz,TX,Austin,@tedcruz,Ted Cruz,http://pbs.twimg.com/profile_images/727845526805188614/Becds2yE_normal.jpg,1:51:26,"Father of two, @heidiscruz's husband, fighter for liberty. Representing the great state of Texas in the U.S. Senate.",https://twitter.com/i/web/status/896549726698455040,RT @dcexaminer: JUST IN: Ted Cruz asks Justice Department to investigate Charlottesville crash as domestic terrorism https://t.co/bZ20xkuSN…,TRUE,Other/Campaign,2017-08-13 1:51:26,2017-08-13,"Austin, TX"
