Address,Bioguide ID,Class,Email,First Name,Last Name,Leadership Position,Member Full,party,Phone,State,Website,Senator
239 Dirksen Senate Office Building Washington DC 20510,C000880,Class III,https://www.crapo.senate.gov/contact,Mike,Crapo,,Crapo (R-ID),R,(202) 224-6142,ID,http://www.crapo.senate.gov,Mike Crapo
404 Russell Senate Office Building Washington DC 20510,C001098,Class I,http://www.cruz.senate.gov/?p=email_senator,Ted,Cruz,,Cruz (R-TX),R,(202) 224-5922,TX,http://www.cruz.senate.gov,Ted Cruz
320 Hart Senate Office Building Washington DC 20510,D000618,Class II,https://www.daines.senate.gov/connect/email-steve,Steve,Daines,,Daines (R-MT),R,(202) 224-2651,MT,http://www.daines.senate.gov,Steve Daines
720 Hart Senate Office Building Washington DC 20510,D000607,Class I,https://www.donnelly.senate.gov/contact/email-joe,Joe,Donnelly,,Donnelly (D-IN),D,(202) 224-4814,IN,http://www.donnelly.senate.gov,Joe Donnelly
524 Hart Senate Office Building Washington DC 20510,D000622,Class III,https://www.duckworth.senate.gov/content/contact-senator,Tammy,Duckworth,,Duckworth (D-IL),D,(202) 224-2854,IL,http://www.duckworth.senate.gov,Tammy Duckworth
711 Hart Senate Office Building Washington DC 20510,D000563,Class II,https://www.durbin.senate.gov/contact/,Richard,Durbin,Whip,Durbin (D-IL),D,(202) 224-2152,IL,http://www.durbin.senate.gov,Richard Durbin
379A Russell Senate Office Building Washington DC 20510,E000285,Class II,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,Michael,Enzi,,Enzi (R-WY),R,(202) 224-3424,WY,http://www.enzi.senate.gov,Michael Enzi
111 Russell Senate Office Building Washington DC 20510,E000295,Class II,https://www.ernst.senate.gov/public/index.cfm/contact,Joni,Ernst,,Ernst (R-IA),R,(202) 224-3254,IA,http://www.ernst.senate.gov,Joni Ernst
331 Hart Senate Office Building Washington DC 20510,F000062,Class I,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,Dianne,Feinstein,,Feinstein (D-CA),D,(202) 224-3841,CA,http://www.feinstein.senate.gov,Dianne Feinstein
454 Russell Senate Office Building Washington DC 20510,F000463,Class I,http://www.fischer.senate.gov/public/index.cfm/contact,Deb,Fischer,,Fischer (R-NE),R,(202) 224-6551,NE,http://www.fischer.senate.gov,Deb Fischer
413 Russell Senate Office Building Washington DC 20510,F000444,Class I,https://www.flake.senate.gov/public/index.cfm/contact-jeff,Jeff,Flake,,Flake (R-AZ),R,(202) 224-4521,AZ,http://www.flake.senate.gov,Jeff Flake
309 Hart Senate Office Building Washington DC 20510,F000457,Class II,https://www.franken.senate.gov/?p=contact,Al,Franken,,Franken (D-MN),D,(202) 224-5641,MN,http://www.franken.senate.gov,Al Franken
354 Russell Senate Office Building Washington DC 20510,G000562,Class II,https://www.gardner.senate.gov/contact-cory/email-cory,Cory,Gardner,,Gardner (R-CO),R,(202) 224-5941,CO,http://www.gardner.senate.gov,Cory Gardner
478 Russell Senate Office Building Washington DC 20510,G000555,Class I,https://www.gillibrand.senate.gov/contact/email-me,Kirsten,Gillibrand,,Gillibrand (D-NY),D,(202) 224-4451,NY,http://www.gillibrand.senate.gov,Kirsten Gillibrand
290 Russell Senate Office Building Washington DC 20510,G000359,Class II,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,Lindsey,Graham,,Graham (R-SC),R,(202) 224-5972,SC,http://www.lgraham.senate.gov/,Lindsey Graham
135 Hart Senate Office Building Washington DC 20510,G000386,Class III,http://www.grassley.senate.gov/contact,Chuck,Grassley,,Grassley (R-IA),R,(202) 224-3744,IA,http://www.grassley.senate.gov,Chuck Grassley
112 Hart Senate Office Building Washington DC 20510,H001075,Class III,https://www.harris.senate.gov/content/contact-senator,Kamala,Harris,,Harris (D-CA),D,(202) 224-3553,CA,http://www.harris.senate.gov,Kamala Harris
330 Hart Senate Office Building Washington DC 20510,H001076,Class III,https://www.hassan.senate.gov/content/contact-senator,Margaret Wood,Hassan,,Hassan (D-NH),D,(202) 224-3324,NH,http://www.hassan.senate.gov,Margaret Wood Hassan
104 Hart Senate Office Building Washington DC 20510,H000338,Class I,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,Orrin,Hatch,President Pro Tempore,Hatch (R-UT),R,(202) 224-5251,UT,http://www.hatch.senate.gov/,Orrin Hatch
303 Hart Senate Office Building Washington DC 20510,H001046,Class I,http://www.heinrich.senate.gov/contact,Martin,Heinrich,,Heinrich (D-NM),D,(202) 224-5521,NM,http://www.heinrich.senate.gov/,Martin Heinrich
516 Hart Senate Office Building Washington DC 20510,H001069,Class I,http://www.heitkamp.senate.gov/public/index.cfm/contact,Heidi,Heitkamp,,Heitkamp (D-ND),D,(202) 224-2043,ND,http://www.heitkamp.senate.gov/,Heidi Heitkamp
324 Hart Senate Office Building Washington DC 20510,H001041,Class I,http://www.heller.senate.gov/public/index.cfm/contact-form,Dean,Heller,,Heller (R-NV),R,(202) 224-6244,NV,http://www.heller.senate.gov/,Dean Heller
730 Hart Senate Office Building Washington DC 20510,H001042,Class I,https://www.hirono.senate.gov/contact,Mazie,Hirono,,Hirono (D-HI),D,(202) 224-6361,HI,http://www.hirono.senate.gov/,Mazie Hirono
338 Russell Senate Office Building Washington DC 20510,H001061,Class III,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,John,Hoeven,,Hoeven (R-ND),R,(202) 224-2551,ND,http://www.hoeven.senate.gov,John Hoeven
205 Russell Senate Office Building Washington DC 20510,I000024,Class II,https://www.inhofe.senate.gov/contact,James,Inhofe,,Inhofe (R-OK),R,(202) 224-4721,OK,http://www.inhofe.senate.gov/,James Inhofe
131 Russell Senate Office Building Washington DC 20510,I000055,Class III,https://www.isakson.senate.gov/public/index.cfm/email-me,Johnny,Isakson,,Isakson (R-GA),R,(202) 224-3643,GA,http://www.isakson.senate.gov,Johnny Isakson
328 Hart Senate Office Building Washington DC 20510,J000293,Class III,https://www.ronjohnson.senate.gov/public/index.cfm/email-the-senator,Ron,Johnson,,Johnson (R-WI),R,(202) 224-5323,WI,http://www.ronjohnson.senate.gov/,Ron Johnson
231 Russell Senate Office Building Washington DC 20510,K000384,Class I,https://www.kaine.senate.gov/contact,Tim,Kaine,,Kaine (D-VA),D,(202) 224-4024,VA,http://www.kaine.senate.gov/,Tim Kaine
383 Russell Senate Office Building Washington DC 20510,K000393,Class III,https://www.kennedy.senate.gov/content/contact-senator,John,Kennedy,,Kennedy (R-LA),R,(202) 224-4623,LA,http://www.kennedy.senate.gov,John Kennedy
133 Hart Senate Office Building Washington DC 20510,K000383,Class I,https://www.king.senate.gov/contact,Angus,King,,King (I-ME),I,(202) 224-5344,ME,http://www.king.senate.gov/,Angus King
302 Hart Senate Office Building Washington DC 20510,K000367,Class I,http://www.klobuchar.senate.gov/public/index.cfm/contact,Amy,Klobuchar,,Klobuchar (D-MN),D,(202) 224-3244,MN,http://www.klobuchar.senate.gov/,Amy Klobuchar
316 Hart Senate Office Building Washington DC 20510,L000575,Class III,http://www.lankford.senate.gov/contact/email,James,Lankford,,Lankford (R-OK),R,(202) 224-5754,OK,http://www.lankford.senate.gov,James Lankford
437 Russell Senate Office Building Washington DC 20510,L000174,Class III,https://www.leahy.senate.gov/contact/,Patrick,Leahy,,Leahy (D-VT),D,(202) 224-4242,VT,http://www.leahy.senate.gov/,Patrick Leahy
361A Russell Senate Office Building Washington DC 20510,L000577,Class III,https://www.lee.senate.gov/public/index.cfm/contact,Mike,Lee,,Lee (R-UT),R,(202) 224-5444,UT,http://www.lee.senate.gov/,Mike Lee
306 Hart Senate Office Building Washington DC 20510,M001183,Class I,http://www.manchin.senate.gov/public/index.cfm/contact-form,"Joe, III",Manchin,,Manchin (D-WV),D,(202) 224-3954,WV,http://www.manchin.senate.gov/,"Joe, III Manchin"
"255 Dirksen Senate Office Building Washington DC 20510        ",M000133,Class II,https://www.markey.senate.gov/contact,Edward,Markey,,Markey (D-MA),D,(202) 224-2742,MA,http://www.markey.senate.gov/,Edward Markey
218 Russell Senate Office Building Washington DC 20510,M000303,Class III,https://www.mccain.senate.gov/public/index.cfm/contact-form,John,McCain,,McCain (R-AZ),R,(202) 224-2235,AZ,http://www.mccain.senate.gov/,John McCain
503 Hart Senate Office Building Washington DC 20510,M001170,Class I,http://www.mccaskill.senate.gov/contact,Claire,McCaskill,,McCaskill (D-MO),D,(202) 224-6154,MO,http://www.mccaskill.senate.gov/,Claire McCaskill
317 Russell Senate Office Building Washington DC 20510,M000355,Class II,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,Mitch,McConnell,Majority Leader,McConnell (R-KY),R,(202) 224-2541,KY,http://www.mcconnell.senate.gov/,Mitch McConnell
528 Hart Senate Office Building Washington DC 20510,M000639,Class I,https://www.menendez.senate.gov/contact,Robert,Menendez,,Menendez (D-NJ),D,(202) 224-4744,NJ,http://www.menendez.senate.gov/,Robert Menendez
313 Hart Senate Office Building Washington DC 20510,M001176,Class II,http://www.merkley.senate.gov/contact/,Jeff,Merkley,,Merkley (D-OR),D,(202) 224-3753,OR,http://www.merkley.senate.gov,Jeff Merkley
521 Dirksen Senate Office Building Washington DC 20510,M000934,Class III,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry,Jerry,Moran,,Moran (R-KS),R,(202) 224-6521,KS,http://www.moran.senate.gov,Jerry Moran
522 Hart Senate Office Building Washington DC 20510,M001153,Class III,https://www.murkowski.senate.gov/public/index.cfm/contact,Lisa,Murkowski,,Murkowski (R-AK),R,(202) 224-6665,AK,http://www.murkowski.senate.gov/,Lisa Murkowski
136 Hart Senate Office Building Washington DC 20510,M001169,Class I,http://www.murphy.senate.gov/contact,Christopher,Murphy,,Murphy (D-CT),D,(202) 224-4041,CT,http://www.murphy.senate.gov/,Christopher Murphy
154 Russell Senate Office Building Washington DC 20510,M001111,Class III,http://www.murray.senate.gov/public/index.cfm/contactme,Patty,Murray,Assistant Democratic Leader,Murray (D-WA),D,(202) 224-2621,WA,http://www.murray.senate.gov/,Patty Murray
716 Hart Senate Office Building Washington DC 20510,N000032,Class I,https://www.billnelson.senate.gov/contact-bill,Bill,Nelson,,Nelson (D-FL),D,(202) 224-5274,FL,http://www.billnelson.senate.gov/,Bill Nelson
167 Russell Senate Office Building Washington DC 20510,P000603,Class III,https://www.paul.senate.gov/connect/email-rand,Rand,Paul,,Paul (R-KY),R,(202) 224-4343,KY,http://www.paul.senate.gov,Rand Paul
455 Russell Senate Office Building Washington DC 20510,P000612,Class II,https://www.perdue.senate.gov/connect/email,David,Perdue,,Perdue (R-GA),R,(202) 224-3521,GA,http://www.perdue.senate.gov,David Perdue
724 Hart Senate Office Building Washington DC 20510,P000595,Class II,https://www.peters.senate.gov/contact/email-gary,Gary,Peters,,Peters (D-MI),D,(202) 224-6221,MI,http://www.peters.senate.gov,Gary Peters
448 Russell Senate Office Building Washington DC 20510,P000449,Class III,https://www.portman.senate.gov/public/index.cfm/contact?p=contact-form,Rob,Portman,,Portman (R-OH),R,(202) 224-3353,OH,http://www.portman.senate.gov,Rob Portman
728 Hart Senate Office Building Washington DC 20510,R000122,Class II,https://www.reed.senate.gov/contact/,Jack,Reed,,Reed (D-RI),D,(202) 224-4642,RI,http://www.reed.senate.gov/,Jack Reed
483 Russell Senate Office Building Washington DC 20510,R000584,Class II,http://www.risch.senate.gov/public/index.cfm?p=Email,James,Risch,,Risch (R-ID),R,(202) 224-2752,ID,http://www.risch.senate.gov,James Risch
109 Hart Senate Office Building Washington DC 20510,R000307,Class II,https://www.roberts.senate.gov/public/?p=EmailPat,Pat,Roberts,,Roberts (R-KS),R,(202) 224-4774,KS,http://www.roberts.senate.gov/,Pat Roberts
502 Hart Senate Office Building Washington DC 20510,R000605,Class II,https://www.rounds.senate.gov/contact/email-mike,Mike,Rounds,,Rounds (R-SD),R,(202) 224-5842,SD,http://www.rounds.senate.gov,Mike Rounds
284 Russell Senate Office Building Washington DC 20510,R000595,Class III,http://www.rubio.senate.gov/public/index.cfm/contact,Marco,Rubio,,Rubio (R-FL),R,(202) 224-3041,FL,http://www.rubio.senate.gov,Marco Rubio
332 Dirksen Senate Office Building Washington DC 20510,S000033,Class I,http://www.sanders.senate.gov/contact/,Bernard,Sanders,,Sanders (I-VT),I,(202) 224-5141,VT,http://www.sanders.senate.gov/,Bernard Sanders
136 Russell Senate Office Building Washington DC 20510,S001197,Class II,http://www.sasse.senate.gov/public/index.cfm/email-ben,Ben,Sasse,,Sasse (R-NE),R,(202) 224-4224,NE,http://www.sasse.senate.gov,Ben Sasse
722 Hart Senate Office Building Washington DC 20510,S001194,Class III,https://www.schatz.senate.gov/contact,Brian,Schatz,,Schatz (D-HI),D,(202) 224-3934,HI,http://www.schatz.senate.gov,Brian Schatz
322 Hart Senate Office Building Washington DC 20510,S000148,Class III,https://www.schumer.senate.gov/contact/email-chuck,Charles,Schumer,Democratic Leader,Schumer (D-NY),D,(202) 224-6542,NY,http://www.schumer.senate.gov/,Charles Schumer
717 Hart Senate Office Building Washington DC 20510,S001184,Class III,https://www.scott.senate.gov/contact/email-me,Tim,Scott,,Scott (R-SC),R,(202) 224-6121,SC,http://www.scott.senate.gov/,Tim Scott
506 Hart Senate Office Building Washington DC 20510,S001181,Class II,https://www.shaheen.senate.gov/contact/contact-jeanne,Jeanne,Shaheen,,Shaheen (D-NH),D,(202) 224-2841,NH,http://www.shaheen.senate.gov,Jeanne Shaheen
304 Russell Senate Office Building Washington DC 20510,S000320,Class III,https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,Richard,Shelby,,Shelby (R-AL),R,(202) 224-5744,AL,http://www.shelby.senate.gov/,Richard Shelby
731 Hart Senate Office Building Washington DC 20510,S000770,Class I,https://www.stabenow.senate.gov/contact,Debbie,Stabenow,,Stabenow (D-MI),D,(202) 224-4822,MI,http://www.stabenow.senate.gov/,Debbie Stabenow
326 Russell Senate Office Building Washington DC 20510,S001202,Class II,https://www.strange.senate.gov/content/contact-senator,Luther,Strange,,Strange (R-AL),R,(202) 224-4124,AL,https://www.strange.senate.gov/,Luther Strange
702 Hart Senate Office Building Washington DC 20510,S001198,Class II,https://www.sullivan.senate.gov/contact/email,Dan,Sullivan,,Sullivan (R-AK),R,(202) 224-3004,AK,http://www.sullivan.senate.gov,Dan Sullivan
311 Hart Senate Office Building Washington DC 20510,T000464,Class I,https://www.tester.senate.gov/?p=email_senator,Jon,Tester,,Tester (D-MT),D,(202) 224-2644,MT,http://www.tester.senate.gov/,Jon Tester
511 Dirksen Senate Office Building Washington DC 20510,T000250,Class III,http://www.thune.senate.gov/public/index.cfm/contact,John,Thune,,Thune (R-SD),R,(202) 224-2321,SD,http://www.thune.senate.gov/,John Thune
185 Dirksen Senate Office Building Washington DC 20510,T000476,Class II,https://www.tillis.senate.gov/public/index.cfm/email-me,Thom,Tillis,,Tillis (R-NC),R,(202) 224-6342,NC,http://www.tillis.senate.gov,Thom Tillis
248 Russell Senate Office Building Washington DC 20510,T000461,Class III,https://www.toomey.senate.gov/?p=contact,Patrick,Toomey,,Toomey (R-PA),R,(202) 224-4254,PA,http://www.toomey.senate.gov/,Patrick Toomey
531 Hart Senate Office Building Washington DC 20510,U000039,Class II,https://www.tomudall.senate.gov/?p=contact,Tom,Udall,,Udall (D-NM),D,(202) 224-6621,NM,http://www.tomudall.senate.gov,Tom Udall
110 Hart Senate Office Building Washington DC 20510,V000128,Class III,https://www.vanhollen.senate.gov/content/contact-senator,Chris,Van Hollen,,Van Hollen (D-MD),D,(202) 224-4654,MD,http://www.vanhollen.senate.gov,Chris Van Hollen
703 Hart Senate Office Building Washington DC 20510,W000805,Class II,http://www.warner.senate.gov/public/index.cfm?p=Contact,Mark,Warner,,Warner (D-VA),D,(202) 224-2023,VA,http://www.warner.senate.gov,Mark Warner
317 Hart Senate Office Building Washington DC 20510,W000817,Class I,https://www.warren.senate.gov/?p=email_senator,Elizabeth,Warren,,Warren (D-MA),D,(202) 224-4543,MA,http://www.warren.senate.gov,Elizabeth Warren
530 Hart Senate Office Building Washington DC 20510,W000802,Class I,https://www.whitehouse.senate.gov/contact/email-sheldon,Sheldon,Whitehouse,,Whitehouse (D-RI),D,(202) 224-2921,RI,http://www.whitehouse.senate.gov/,Sheldon Whitehouse
555 Dirksen Senate Office Building Washington DC 20510,W000437,Class I,https://www.wicker.senate.gov/public/index.cfm/contact,Roger,Wicker,,Wicker (R-MS),R,(202) 224-6253,MS,http://www.wicker.senate.gov,Roger Wicker
221 Dirksen Senate Office Building Washington DC 20510,W000779,Class III,https://www.wyden.senate.gov/contact/,Ron,Wyden,,Wyden (D-OR),D,(202) 224-5244,OR,http://www.wyden.senate.gov/,Ron Wyden
400 Russell Senate Office Building Washington DC 20510,Y000064,Class III,https://www.young.senate.gov/contact,Todd,Young,,Young (R-IN),R,(202) 224-5623,IN,http://www.young.senate.gov,Todd Young
