Oregonian ID,Site Name,Address,City,State,Lat,Long,Inspection conducted?,Inspection report available?,Inspection year,Lead present?,Earlier lead discovery reported,Highest lead level detected (ug),Where highest lead level detected?,Lead present outside range?,Notes,Had firing range?,Firing range use,Additional details
1118,Northport,2509 44th Ave N.,Northport,Alabama,33.2342003,-87.6008764,Yes,Yes,2012,Yes,,255,Vault,No,,Yes,Converted,
1119,Opelika,300 Consumer Ave.,Opelika,Alabama,32.672967,-85.367094,Yes,Yes,2014,Yes,,75,Left backstop (firing range),Unknown,,Yes,,
1120,Pelham,1000 Yeager Parkway,Pelham,Alabama,33.2958593,-86.8043382,Yes,Yes,2014,Yes,,105,Pelham 42914-1,Unknown,,Unknown,,
1121,Phenix City,3614 South Railroad St.,Phenix City,Alabama,32.4975446,-85.0418183,Yes,Yes,2012,Yes,,70,Front vault,Unknown,,Unknown,,
1122,Scottsboro,404 S. Cedar Hill Dr.,Scottsboro,Alabama,34.6702026,-86.0425408,Yes,Yes,2014,Unknown,,,,Unknown,,Unknown,,Didn't survey for lead.
1123,Springville,198 Marietta Drive,Springville,Alabama,33.770258,-86.4722398,Yes,Yes,2012,Yes,,93,Back vault,Unknown,,Unknown,,
1124,Sylacauga,1001 West Ft. Williams Ave,Sylacauga,Alabama,33.1673146,-86.2659649,Yes,Yes,2013,Yes,,57,Drill hall floor,Unknown,,Unknown,,
1125,Vincent,45 Lee Lane,Vincent,Alabama,33.3775977,-86.4083448,Yes,Yes,2014,Yes,,609,VIN 5914 #1,Unknown,,Unknown,,
1126,Butler,1018 W Pushmataha St,Butler,Alabama,32.0920447,-88.2355891,Yes,Yes,2013,Yes,,115,5 ft left of backstop (firing range),Unknown,,Yes,,
1127,Florala,Alabama 54,Florala,Alabama,30.99715,-86.29929,No,No,2006,Unknown,Yes,,,Unknown,,Yes,Converted,2006 report found 109 ug on unspecified surface.
1267,Fairbanks,202 Wien Ave,Fairbanks,Alaska,64.8425924,-147.7520903,Yes,Yes,2015,Yes,,34,Drill hall vending machine,Yes,,Yes,Unit storage,
1268,Kenai,105 S. Forest DR,Kenai,Alaska,60.559405,-151.2741739,Yes,Yes,2015,Yes,,"44,636",Former firing range,Yes,14 ug on white board frame in classroom 6,Yes,Storage,
1269,Akiachak,,Akiachak,Alaska,60.9094444,-161.4313889,No,No,,Unknown,,,,Unknown,,Unknown,,
1270,Akiak,,Akiak,Alaska,60.9122222,-161.2138889,No,No,,Unknown,,,,Unknown,,Unknown,,
1271,Alakanuk,,Alakanuk,Alaska,62.6888889,-164.6152778,No,No,,Unknown,,,,Unknown,,Unknown,,
1272,Ambler,,Ambler,Alaska,67.0861111,-157.8513889,No,No,,Unknown,,,,Unknown,,Unknown,,
1273,Anchorage,Ruff Rd,Anchorage,Alaska,61.2668697,-149.6457275,No,No,,Unknown,,,,Unknown,,Unknown,,
1274,Atmautluak,,Atmautluak,Alaska,60.8669444,-162.2730556,No,No,,Unknown,,,,Unknown,,Unknown,,
1275,Barrow,,Barrow,Alaska,71.2905556,-156.7886111,No,No,,Unknown,,,,Unknown,,Unknown,,
1276,Bethel,,Bethel,Alaska,60.7922222,-161.7558333,No,No,,Unknown,,,,Unknown,,Unknown,,
1277,Brevig Mission,,Brevig Mission,Alaska,65.3347222,-166.4891667,No,No,,Unknown,,,,Unknown,,Unknown,,
1278,Buckland,,Buckland,Alaska,65.9797222,-161.1230555,No,No,,Unknown,,,,Unknown,,Unknown,,
1279,Chefornak,,Chefornak,Alaska,60.16,-164.2658333,No,No,,Unknown,,,,Unknown,,Unknown,,
1280,Chevak,,Chevak,Alaska,61.5277778,-165.5863889,No,No,,Unknown,,,,Unknown,,Unknown,,
1281,Delta Junction,,Delta Junction,Alaska,64.0377778,-145.7322222,No,No,,Unknown,,,,Unknown,,Unknown,,
1282,Eek,,Eek,Alaska,60.2188889,-162.0244444,No,No,,Unknown,,,,Unknown,,Unknown,,
1283,Elim,,Elim,Alaska,64.6175,-162.2605556,No,No,,Unknown,,,,Unknown,,Unknown,,
1284,Emmonak,,Emmonak,Alaska,62.7756375,-164.5544697,No,No,,Unknown,,,,Unknown,,Unknown,,
1286,Fort Yukon,,Fort Yukon,Alaska,66.56735,-145.2513402,No,No,,Unknown,,,,Unknown,,Unknown,,
1287,Gambell,,Gambell,Alaska,63.7797222,-171.7411111,No,No,,Unknown,,,,Unknown,,Unknown,,
1288,Goodnews Bay,,Goodnews Bay,Alaska,59.1284954,-161.5720028,No,No,,Unknown,,,,Unknown,,Unknown,,
1289,Haines,,Haines,Alaska,59.2358333,-135.445,No,No,,Unknown,,,,Unknown,,Unknown,,
1290,Holy Cross,,Holy Cross,Alaska,62.1994444,-159.7713889,No,No,,Unknown,,,,Unknown,,Unknown,,
1291,Hoonah,,Hoonah,Alaska,58.11,-135.4436111,No,No,,Unknown,,,,Unknown,,Unknown,,
1292,Hooper Bay,,Hooper Bay,Alaska,61.5311111,-166.0966666,No,No,,Unknown,,,,Unknown,,Unknown,,
1293,Juneau,,Juneau,Alaska,58.3019444,-134.4197222,No,No,,Unknown,,,,Unknown,,Unknown,,
1294,Kake,,Kake,Alaska,56.9758333,-133.9472222,No,No,,Unknown,,,,Unknown,,Unknown,,
1295,Kaltag,,Kaltag,Alaska,64.3272222,-158.7219444,No,No,,Unknown,,,,Unknown,,Unknown,,
1296,Kasigluk,,Kasigluk,Alaska,60.8955556,-162.5180556,No,No,,Unknown,,,,Unknown,,Unknown,,
1298,Ketchikan,645 Jackson St,Ketchikan,Alaska,55.3535603,-131.6808604,No,No,,Unknown,,,,Unknown,,Unknown,,
1299,Kipnuk,1 Forest Mile,Kipnuk,Alaska,59.9401747,-164.0833318,No,No,,Unknown,,,,Unknown,,Unknown,,
1300,Kivalina,,Kivalina,Alaska,67.7269443,-164.5333333,No,No,,Unknown,,,,Unknown,,Unknown,,
1301,Klawock,,Klawock,Alaska,55.5522222,-133.0958333,No,No,,Unknown,,,,Unknown,,Unknown,,
1302,Kodiak,125 Powell Ave,Kodiak,Alaska,57.7955848,-152.3928156,No,No,,Unknown,,,,Unknown,,Unknown,,
1303,Kongiginak,,Kongiginak,Alaska,59.9598594,-162.8902926,No,No,,Unknown,,,,Unknown,,Unknown,,
1304,Kotlik,,Kotlik,Alaska,63.0341667,-163.5533333,No,No,,Unknown,,,,Unknown,,Unknown,,
1305,Kotzebue,,Kotzebue,Alaska,66.8983333,-162.5966666,No,No,,Unknown,,,,Unknown,,Unknown,,
1306,Koyuk,,Koyuk,Alaska,64.9319444,-161.1569443,No,No,,Unknown,,,,Unknown,,Unknown,,
1307,Koyukuk,,Koyukuk,Alaska,64.8802778,-157.7008333,No,No,,Unknown,,,,Unknown,,Unknown,,
1308,Kwethluck,,Kwethluck,Alaska,60.8122222,-161.4358333,No,No,,Unknown,,,,Unknown,,Unknown,,
1309,Kwigillingok,,Kwigillingok,Alaska,59.8723383,-163.1658296,No,No,,Unknown,,,,Unknown,,Unknown,,
1310,Little Diomede,,Little Diomede,Alaska,65.7575,-168.9513,No,No,,Unknown,,,,Unknown,,Unknown,,
1311,Manokotak,,Manokotak,Alaska,58.9813889,-159.0583332,No,No,,Unknown,,,,Unknown,,Unknown,,
1312,Marshall,,Marshall,Alaska,61.8777778,-162.081111,No,No,,Unknown,,,,Unknown,,Unknown,,
1313,Mekoryuk,,Mekoryuk,Alaska,60.3722206,-166.2703729,No,No,,Unknown,,,,Unknown,,Unknown,,
1314,Mountain Village,,Mountain Village,Alaska,62.0855556,-163.7294444,No,No,,Unknown,,,,Unknown,,Unknown,,
1315,Napakiak,,Napakiak,Alaska,60.6966667,-161.9519444,No,No,,Unknown,,,,Unknown,,Unknown,,
1316,Napaskiak,,Napaskiak,Alaska,60.7068387,-161.7623803,No,No,,Unknown,,,,Unknown,,Unknown,,
1317,Newtok,,Newtok,Alaska,60.9425079,-164.6419163,No,No,,Unknown,,,,Unknown,,Unknown,,
1318,Nightmute,,Nightmute,Alaska,60.4794444,-164.7238889,No,No,,Unknown,,,,Unknown,,Unknown,,
1319,Noatak,,Noatak,Alaska,67.5711111,-162.9652778,No,No,,Unknown,,,,Unknown,,Unknown,,
1320,Nome,,Nome,Alaska,64.5011111,-165.4063889,No,No,,Unknown,,,,Unknown,,Unknown,,
1321,Noorvik,,Noorvik,Alaska,66.8383333,-161.0327778,No,No,,Unknown,,,,Unknown,,Unknown,,
1322,Nulato,,Nulato,Alaska,64.7194444,-158.1030556,No,No,,Unknown,,,,Unknown,,Unknown,,
1323,Nunapizchuk,,Nunapizchuk,Alaska,60.8969444,-162.4594444,No,No,,Unknown,,,,Unknown,,Unknown,,
1324,Petersburg,1214 Housing Dr,Petersburg,Alaska,56.8125,-132.9555556,No,No,,Unknown,,,,Unknown,,Unknown,,
1325,Point Hope,,Point Hope,Alaska,68.3477778,-166.8080556,No,No,,Unknown,,,,Unknown,,Unknown,,
1326,Quinhagak,,Quinhagak,Alaska,59.7488889,-161.9158333,No,No,,Unknown,,,,Unknown,,Unknown,,
1327,Savoonga,,Savoonga,Alaska,63.6941667,-170.4788888,No,No,,Unknown,,,,Unknown,,Unknown,,
1328,Scammon Bay,,Scammon Bay,Alaska,61.8427778,-165.5816667,No,No,,Unknown,,,,Unknown,,Unknown,,
1329,Selawik,,Selawik,Alaska,66.6038889,-160.0069444,No,No,,Unknown,,,,Unknown,,Unknown,,
1330,Shaktoolik,,Shaktoolik,Alaska,64.3338889,-161.1538889,No,No,,Unknown,,,,Unknown,,Unknown,,
1331,Shishmaref,,Shishmaref,Alaska,66.2566667,-166.0719444,No,No,,Unknown,,,,Unknown,,Unknown,,
1332,Shungak,,Shungak,Alaska,66.8880556,-157.1363888,No,No,,Unknown,,,,Unknown,,Unknown,,
1333,Sitka,,Sitka,Alaska,57.0530556,-135.33,No,No,,Unknown,,,,Unknown,,Unknown,,
1334,St. Mary’s,,St. Mary’s,Alaska,62.0530556,-163.1658333,No,No,,Unknown,,,,Unknown,,Unknown,,
1335,St. Michael,,St. Michael,Alaska,63.4780556,-162.0391667,No,No,,Unknown,,,,Unknown,,Unknown,,
1336,Stebbins,,Stebbins,Alaska,63.4636144,-162.2656399,No,No,,Unknown,,,,Unknown,,Unknown,,
1337,Teller,,Teller,Alaska,65.2636111,-166.3608333,No,No,,Unknown,,,,Unknown,,Unknown,,
1338,Togiak,,Togiak,Alaska,59.0619444,-160.3763889,No,No,,Unknown,,,,Unknown,,Unknown,,
1339,Toksook Bay,26 Airport Rd,Toksook Bay,Alaska,60.5314489,-165.1096528,No,No,,Unknown,,,,Unknown,,Unknown,,
1340,Tuluksak,,Tuluksak,Alaska,61.1025,-160.9616667,No,No,,Unknown,,,,Unknown,,Unknown,,
1341,Tuntutuliak,,Tuntutuliak,Alaska,60.3430556,-162.6630556,No,No,,Unknown,,,,Unknown,,Unknown,,
1342,Tununak,,Tununak,Alaska,60.6124792,-165.0938553,No,No,,Unknown,,,,Unknown,,Unknown,,
1343,Unalakleet,,Unalakleet,Alaska,63.8730556,-160.7880556,No,No,,Unknown,,,,Unknown,,Unknown,,
1344,Valdez,,Valdez,Alaska,61.1308333,-146.3483333,No,No,,Unknown,,,,Unknown,,Unknown,,
1345,Wainwright,,Wainwright,Alaska,70.6369444,-160.0383333,No,No,,Unknown,,,,Unknown,,Unknown,,
1346,Wales,,Wales,Alaska,65.6091667,-168.0875,No,No,,Unknown,,,,Unknown,,Unknown,,
1347,Wasilla,3401 E Bogard Rd,Wasilla,Alaska,61.5977797,-149.364257,No,No,,Unknown,,,,Unknown,,Unknown,,
1348,Wrangell,,Wrangell,Alaska,56.4708333,-132.3766666,No,No,,Unknown,,,,Unknown,,Unknown,,
1209,Booneville,3611 East HWY 10,Booneville,Arkansas,35.1477799,-93.8667723,Yes,Yes,2012,Yes,,"14,100",Weight room,Yes,,Yes,Firing range,
1210,Arkadelphia,410 Crittenden St,Arkadelphia,Arkansas,34.1180913,-93.0514663,No,No,,Unknown,,,,Unknown,,Unknown,,
1211,Augusta,500 HWY 64 E,Augusta,Arkansas,35.3882191,-94.4166964,No,No,,Unknown,,,,Unknown,,Unknown,,
1212,Barling,,,Arkansas,35.322778,-94.300556,No,No,,Unknown,,,,Unknown,,Unknown,,
1213,Batesville,1690 White Dr,Batesville,Arkansas,35.7915545,-91.6266274,No,No,,Unknown,,,,Unknown,,Unknown,,
1214,Benton,406 Fairfield RD,Benton,Arkansas,34.5618847,-92.6105165,No,No,,Unknown,,,,Unknown,,Unknown,,
1215,Bentonville,6800 SW Minutemen Ave,Bentonville,Arkansas,36.3093359,-94.3087265,No,No,,Unknown,,,,Unknown,,Unknown,,
1216,Blytheville,1700 S Division ST,Blytheville,Arkansas,35.9070416,-89.9184923,No,No,,Unknown,,,,Unknown,,Unknown,,
1217,Brinkley,628 E Cypress ST,Brinkley,Arkansas,34.887104,-91.1800926,No,No,,Unknown,,,,Unknown,,Unknown,,
1218,Cabot,200 E Main ST,Cabot,Arkansas,34.9733887,-92.0150908,No,No,,Unknown,,,,Unknown,,Unknown,,
1219,Camden,1020 Gibson Ave,Camden,Arkansas,33.5666132,-92.8167898,No,No,,Unknown,,,,Unknown,,Unknown,,
1220,Clarksville,300 Scroggins Road,Clarksville,Arkansas,35.4714724,-93.4665731,No,No,,Unknown,,,,Unknown,,Unknown,,
1221,Conway,300 Exchange Ave,Conway,Arkansas,35.07461,-92.418647,No,No,,Unknown,,,,Unknown,,Unknown,,
1222,Crossett,705 N Florida St,Crossett,Arkansas,33.1267768,-91.9666936,No,No,,Unknown,,,,Unknown,,Unknown,,
1223,Dardanelle,18816 Lower Danville Rd,Dardanelle,Arkansas,35.2052536,-93.1623372,No,No,,Unknown,,,,Unknown,,Unknown,,
1224,DeQueen,610 N Lakeside DR,DeQueen,Arkansas,34.0423156,-94.3300554,No,No,,Unknown,,,,Unknown,,Unknown,,
1225,El Dorado,413 Industrial Rd,El Dorado,Arkansas,33.2007387,-92.6137248,No,No,,Unknown,,,,Unknown,,Unknown,,
1226,Fayetteville,,,Arkansas,36.076389,-94.160833,No,No,,Unknown,,,,Unknown,,Unknown,,
1227,Forrest City,2001 Dr. Martin Luther King DR,,Arkansas,34.9937086,-90.8125274,No,No,,Unknown,,,,Unknown,,Unknown,,
1228,Fort Smith,,,Arkansas,35.368611,-94.398611,No,No,,Unknown,,,,Unknown,,Unknown,,
1229,Harrisburg,912 E Jackson ST,Harrisburg,Arkansas,35.5637246,-90.7115537,No,No,,Unknown,,,,Unknown,,Unknown,,
1230,Harrison,,,Arkansas,36.237222,-93.113611,No,No,,Unknown,,,,Unknown,,Unknown,,
1231,Hazen,1523 HWY 63 N,Hazen,Arkansas,36.275973,-91.375899,No,No,,Unknown,,,,Unknown,,Unknown,,
1232,Heber Springs,799 S 7th St,Heber Springs,Arkansas,35.4850452,-92.0368336,No,No,,Unknown,,,,Unknown,,Unknown,,
1233,Hope,2400 Holiday DR,Hope,Arkansas,33.685855,-93.6063527,No,No,,Unknown,,,,Unknown,,Unknown,,
1234,Hot Springs,,Hot Springs,Arkansas,34.497222,-93.055278,No,No,,Unknown,,,,Unknown,,Unknown,,
1235,Jacksonville,,,Arkansas,34.870278,-92.115278,No,No,,Unknown,,,,Unknown,,Unknown,,
1236,Jonesboro,1921 Aggie Rd,Jonesboro,Arkansas,35.842125,-90.6825405,No,No,,Unknown,,,,Unknown,,Unknown,,
1237,Lincoln,705 W Pridemore DR,Lincoln,Arkansas,35.9505089,-94.430052,No,No,,Unknown,,,,Unknown,,Unknown,,
1238,Little Rock,,,Arkansas,34.736111,-92.331111,No,No,,Unknown,,,,Unknown,,Unknown,,
1239,Lonoke,2005 E Front St.,Lonoke,Arkansas,34.7836357,-91.8744881,No,No,,Unknown,,,,Unknown,,Unknown,,
1240,Magnolia,100 E University,Magnolia,Arkansas,33.2910064,-93.2359922,No,No,,Unknown,,,,Unknown,,Unknown,,
1241,Malvern,1430 Divison ST,Malvern,Arkansas,34.3813854,-92.8148148,No,No,,Unknown,,,,Unknown,,Unknown,,
1242,Marshall,318 Fair St,Marshall,Arkansas,35.914259,-92.63711,No,No,,Unknown,,,,Unknown,,Unknown,,
1243,Mena,804 Morrow St N,Mena,Arkansas,34.5929435,-94.2224106,No,No,,Unknown,,,,Unknown,,Unknown,,
1244,Monticello,809 Jordan Dr,Monticello,Arkansas,33.6082032,-91.8173905,No,No,,Unknown,,,,Unknown,,Unknown,,
1245,Morrilton,306 Will ST,Morrilton,Arkansas,35.1535806,-92.7361687,No,No,,Unknown,,,,Unknown,,Unknown,,
1246,Mountain Home,1640 Fuller ST,Mountain Home,Arkansas,36.322057,-92.3926455,No,No,,Unknown,,,,Unknown,,Unknown,,
1247,Newport,2000 Fairgrounds RD,Newport,Arkansas,35.637152,-91.2574881,No,No,,Unknown,,,,Unknown,,Unknown,,
1248,North Little Rock (Fisher Armory),2600 N Poplar ST,North Little Rock,Arkansas,34.7786417,-92.265085,No,No,,Unknown,,,,Unknown,,Unknown,,
1249,Ozark,1907 W Commercial St,Ozark,Arkansas,35.4893802,-93.8452288,No,No,,Unknown,,,,Unknown,,Unknown,,
1250,Paragould,1201 Hwy 135 N,Paragould,Arkansas,36.0352228,-90.4408585,No,No,,Unknown,,,,Unknown,,Unknown,,
1251,Paris,800 W Grober St,Paris,Arkansas,35.2889705,-93.735807,No,No,,Unknown,,,,Unknown,,Unknown,,
1252,Prescott,841 Gee St,Prescott,Arkansas,33.806004,-93.39185,No,No,,Unknown,,,,Unknown,,Unknown,,
1253,Rector,310 S Stewart St,Rector,Arkansas,36.2656809,-90.2914835,No,No,,Unknown,,,,Unknown,,Unknown,,
1254,Rogers,1408 S 1st St,Rogers,Arkansas,36.321629,-94.117857,No,No,,Unknown,,,,Unknown,,Unknown,,
1255,Russellville,1717 Airport RD,Russelville,Arkansas,35.2628204,-93.0984381,No,No,,Unknown,,,,Unknown,,Unknown,,
1256,Searcy,3105 S Main St,Searcy,Arkansas,35.2081438,-91.7333937,No,No,,Unknown,,,,Unknown,,Unknown,,
1257,Sheridan,91 Grant 74,Sheridan,Arkansas,34.3098552,-92.3781302,No,No,,Unknown,,,,Unknown,,Unknown,,
1258,Siloam Springs,1333 E Main St,Siloam Springs,Arkansas,36.1820702,-94.5292293,No,No,,Unknown,,,,Unknown,,Unknown,,
1259,Stuttgart,,,Arkansas,34.496944,-91.550833,No,No,,Unknown,,,,Unknown,,Unknown,,
1260,Texarkana,4800 Airport RD,Texarkana,Arkansas,33.4627857,-93.9898155,No,No,,Unknown,,,,Unknown,,Unknown,,
1261,Walnut Ridge,1121 SE Front St,Walnut Ridge,Arkansas,36.0601135,-90.9664036,No,No,,Unknown,,,,Unknown,,Unknown,,
1262,Warren,101 Industrial DR,Warren,Arkansas,33.5881312,-92.0801737,No,No,,Unknown,,,,Unknown,,Unknown,,
1263,West Helena,437 Phillips 204,West Helena,Arkansas,34.56942,-90.6731652,No,No,,Unknown,,,,Unknown,,Unknown,,
1264,West Memphis,1700 N Avalon St,West Memphis,Arkansas,35.1664992,-90.193402,No,No,,Unknown,,,,Unknown,,Unknown,,
1265,White Hall,10020 Kabrich Circle,White Hall,Arkansas,34.3057119,-92.085745,No,No,,Unknown,,,,Unknown,,Unknown,,
1266,Wynne,304 W Helen Ave,Wynne,Arkansas,35.2319719,-90.7883979,No,No,,Unknown,,,,Unknown,,Unknown,,
1009,Benicia,711 Hillcrest AVE,Benicia,California,38.0572207,-122.1393435,No,No,,Unknown,,,,Unknown,,Yes,,
1010,Escondido,304 E Park AVE,Escondido,California,33.1295317,-117.0820219,No,No,,Unknown,,,,Unknown,,Yes,,
1011,Eureka,3517 W ST,Eureka,California,40.7757226,-124.1444434,No,No,,Unknown,,,,Unknown,,Yes,,
1012,Gilroy,8490 Wren AVE,Gilroy,California,37.0205109,-121.5860508,No,No,,Unknown,,,,Unknown,,Yes,,
1013,Hollister,2302 San Felipe RD,Hollister,California,36.8867687,-121.4003543,No,No,,Unknown,,,,Unknown,,Yes,,
1014,Porterville,29 N Plano ST,Porterville,California,36.0655436,-119.0088809,No,No,,Unknown,,,,Unknown,,Yes,,
1015,Redding,3025 S ST,Redding,California,38.5473302,-121.4230544,No,No,,Unknown,,,,Unknown,,Yes,,
1016,San Rafael (153)- Old Marine Center,153 Madison Ave.,San Rafael ,California,38.0007998,-122.5278963,No,No,,Unknown,,,,Unknown,,Yes,,
1017,Sylmar,12860 Arroyo St,Sylmar,California,34.294538,-118.412017,No,No,,Unknown,,,,Unknown,,Yes,,
1018,Turlock,N Commons ST,Turlock,California,37.5003287,-120.9127955,No,No,,Unknown,,,,Unknown,,Yes,,
1019,Visalia,1100 N Akers RD,Visalia,California,36.3391099,-119.3496552,No,No,,Unknown,,,,Unknown,,Yes,,
1020,Burbank,3800 Valhalla DR,Burbank,California,34.1899193,-118.3531407,No,No,,Unknown,,,,Unknown,,Yes,,
1021,Fairfield,510 Parker Rd,Fairfield,California,38.2732977,-121.9522953,No,No,,Unknown,,,,Unknown,,Yes,,
1022,Fresno,5565 East Airways Blvd,Fresno,California,36.7802117,-119.7020132,Yes,Yes,2014,Yes,,36,Room 70 window ledge,Yes,,Yes,Storage locker room,
1023,Glendale,220 E Colorado ST,Glendale,California,34.1422249,-118.2531144,No,No,,Unknown,,,,Unknown,,Yes,,
1024,Inglewood,111 Grosvenor ST,Inglewood,California,33.969454,-118.3578275,No,No,,Unknown,,,,Unknown,,Yes,,
1025,Los Angeles (Federal Avenue),1300 Federal Ave,Los Angeles,California,34.0480889,-118.4568747,No,No,,Unknown,,,,Unknown,,Yes,,
1026,Ontario,950 N Cucamonga AVE,Ontario,California,34.0753745,-117.6319597,No,No,,Unknown,,,,Unknown,,Yes,,
1027,Palmdale,38315 30th ST E,Palmdale,California,34.5783558,-118.0768441,No,No,,Unknown,,,,Unknown,,Yes,,
1028,Pomona (Park Street),600 South Park Ave,Pomona,California,34.0538456,-117.7539728,No,No,,Unknown,,,,Unknown,,Yes,,
1029,Richmond,624 Carlson BLVD,Richmond,California,37.9239132,-122.3356167,No,No,,Unknown,,,,Unknown,,Yes,,
1030,Roseville,850 All America City BLVD,Roseville,California,38.7579212,-121.2956708,No,No,,Unknown,,,,Unknown,,Yes,,
1031,Sacramento (58Th St.),1013 58th St,Sacramento ,California,38.561857,-121.431628,No,No,,Unknown,,,,Unknown,,Yes,,
1032,Sacramento  (Meadowview),3250 Meadowview Rd,Sacramento ,California,38.4809991,-121.4703166,No,No,,Unknown,,,,Unknown,,Yes,,
1033,San Diego,2150 Comstock ST,San Diego,California,32.7822865,-117.1711208,No,No,,Unknown,,,,Unknown,,Yes,,
1034,San Francisco (Fort Funston),100 Armory Dr,San Francisco ,California,37.7296718,-122.503382,No,No,,Unknown,,,,Unknown,,Yes,,
1035,San Jose (2D Street),240 North 2nd St.,San Jose ,California,37.3403458,-121.8917852,No,No,,Unknown,,,,Unknown,,Yes,,
1036,San Jose (Hedding Street),251 W Hedding St.,San Jose ,California,37.3513019,-121.9088816,No,No,,Unknown,,,,Unknown,,Yes,,
1037,Santa Barbara,700 E Canon Perdido S,Santa Barbara,California,34.4284904,-119.6914846,No,No,,Unknown,,,,Unknown,,Yes,,
1038,Stockton,8010 S Airport Way,Stockton,California,37.8863122,-121.2479744,No,No,,Unknown,,,,Unknown,,Yes,,
1039,Ventura,1270 Arundell Ave,Ventura,California,34.2626237,-119.2446046,No,No,,Unknown,,,,Unknown,,Yes,,
1357,Fresno,911 S. Chance Ave,Fresno,California,36.7333993,-119.7507272,No,No,,Unknown,,,,Unknown,,Yes,,
100,Longmont,1512 N Main ST,Boulder,Colorado,40.1854742,-105.1018331,Yes,Yes,2013,Yes,,209,East drill hall,No,,No,,"Lead dust levels are within allowable limits, said Lt. Col. Elena O'Bryan, a spokeswoman."
101,Sterling,1400 S. 3rd Ave,Logan,Colorado,40.612056,-103.215222,Yes,Yes,2013,Yes,,220,Weapons vault floor,Yes,37 ug on drill hall floor,Yes,Storage,"Lead dust levels are within allowable limits, said Lt. Col. Elena O'Bryan, a spokeswoman."
102,Aurora,55 S. Potomac ST,Aurora,Colorado,39.7158266,-104.8292839,No,No,,Unknown,,,,Unknown,,Yes,Storage,"Lead dust levels are within allowable limits, said Lt. Col. Elena O'Bryan, a spokeswoman."
